,SETTLEMENTDATE,TOTALDEMAND,RRP,Tempreture
1,2018-01-01 01:00:00,1242.28,103.31,17.3
3,2018-01-01 02:00:00,1112.46,85.24,17.0
5,2018-01-01 03:00:00,1083.94,80.89,16.6
7,2018-01-01 04:00:00,1032.95,80.1,16.3
9,2018-01-01 05:00:00,1034.12,80.07,16.1
11,2018-01-01 06:00:00,1030.84,73.22,16.2
13,2018-01-01 07:00:00,996.8,79.88,16.7
15,2018-01-01 08:00:00,958.69,79.25,17.7
17,2018-01-01 09:00:00,927.36,78.61,18.9
19,2018-01-01 10:00:00,837.62,80.18,20.3
21,2018-01-01 11:00:00,786.71,83.37,21.6
23,2018-01-01 12:00:00,703.88,72.0,22.7
25,2018-01-01 13:00:00,653.15,73.8,23.6
27,2018-01-01 14:00:00,657.23,78.2,24.1
29,2018-01-01 15:00:00,720.46,69.45,24.3
31,2018-01-01 16:00:00,827.18,78.27,24.2
33,2018-01-01 17:00:00,976.22,73.26,23.6
35,2018-01-01 18:00:00,1107.76,67.88,22.7
37,2018-01-01 19:00:00,1179.61,70.03,21.6
39,2018-01-01 20:00:00,1241.27,77.99,20.4
41,2018-01-01 21:00:00,1266.99,76.64,19.3
43,2018-01-01 22:00:00,1238.4,72.1,18.5
45,2018-01-01 23:00:00,1149.34,63.64,18.0
47,2018-01-02 00:00:00,1342.3,63.47,17.6
49,2018-01-02 01:00:00,1206.39,60.85,16.8
51,2018-01-02 02:00:00,1120.13,58.33,16.5
53,2018-01-02 03:00:00,1084.9,61.52,16.2
55,2018-01-02 04:00:00,1048.75,61.59,15.8
57,2018-01-02 05:00:00,1049.06,73.86,15.6
59,2018-01-02 06:00:00,1077.91,76.61,15.8
61,2018-01-02 07:00:00,1096.98,84.64,16.3
63,2018-01-02 08:00:00,1128.73,80.3,17.2
65,2018-01-02 09:00:00,1111.81,86.01,18.4
67,2018-01-02 10:00:00,1065.14,71.8,19.7
69,2018-01-02 11:00:00,962.55,73.59,21.0
71,2018-01-02 12:00:00,927.48,77.3,22.1
73,2018-01-02 13:00:00,898.3,73.68,22.9
75,2018-01-02 14:00:00,853.85,66.33,23.4
77,2018-01-02 15:00:00,861.63,62.95,23.6
79,2018-01-02 16:00:00,946.15,66.62,23.5
81,2018-01-02 17:00:00,1061.74,64.81,22.9
83,2018-01-02 18:00:00,1184.53,62.57,22.1
85,2018-01-02 19:00:00,1279.48,72.9,21.0
87,2018-01-02 20:00:00,1271.37,74.68,19.8
89,2018-01-02 21:00:00,1269.04,68.47,18.8
91,2018-01-02 22:00:00,1225.68,60.84,18.0
93,2018-01-02 23:00:00,1184.06,62.58,17.5
95,2018-01-03 00:00:00,1374.92,69.22,17.1
97,2018-01-03 01:00:00,1257.56,57.62,17.5
99,2018-01-03 02:00:00,1114.33,49.07,17.2
101,2018-01-03 03:00:00,1126.2,52.59,16.8
103,2018-01-03 04:00:00,1091.4,57.12,16.4
105,2018-01-03 05:00:00,1066.21,59.5,16.3
107,2018-01-03 06:00:00,1156.22,66.95,16.4
109,2018-01-03 07:00:00,1202.76,74.46,16.9
111,2018-01-03 08:00:00,1186.04,75.02,17.9
113,2018-01-03 09:00:00,1173.28,78.55,19.1
115,2018-01-03 10:00:00,1111.81,80.67,20.5
117,2018-01-03 11:00:00,1015.16,82.44,21.8
119,2018-01-03 12:00:00,958.95,82.02,22.9
121,2018-01-03 13:00:00,935.97,77.27,23.8
123,2018-01-03 14:00:00,958.73,81.07,24.3
125,2018-01-03 15:00:00,985.34,77.46,24.6
127,2018-01-03 16:00:00,1043.71,73.39,24.4
129,2018-01-03 17:00:00,1178.34,75.13,23.8
131,2018-01-03 18:00:00,1257.79,70.99,22.9
133,2018-01-03 19:00:00,1310.46,81.34,21.8
135,2018-01-03 20:00:00,1342.55,76.1,20.6
137,2018-01-03 21:00:00,1364.61,65.46,19.5
139,2018-01-03 22:00:00,1294.74,64.21,18.7
141,2018-01-03 23:00:00,1231.81,63.8,18.2
143,2018-01-04 00:00:00,1430.53,70.42,17.8
145,2018-01-04 01:00:00,1286.28,62.57,17.2
147,2018-01-04 02:00:00,1158.89,53.2,16.9
149,2018-01-04 03:00:00,1125.9,56.52,16.6
151,2018-01-04 04:00:00,1102.69,54.99,16.2
153,2018-01-04 05:00:00,1142.86,56.9,16.0
155,2018-01-04 06:00:00,1189.45,63.81,16.2
157,2018-01-04 07:00:00,1274.17,86.71,16.7
159,2018-01-04 08:00:00,1259.33,103.82,17.6
161,2018-01-04 09:00:00,1184.84,99.2,18.8
163,2018-01-04 10:00:00,1116.9,90.58,20.2
165,2018-01-04 11:00:00,1079.93,109.22,21.4
167,2018-01-04 12:00:00,1078.04,97.83,22.6
169,2018-01-04 13:00:00,1103.19,88.37,23.4
171,2018-01-04 14:00:00,1150.38,95.12,24.0
173,2018-01-04 15:00:00,1247.85,94.92,24.2
175,2018-01-04 16:00:00,1393.48,113.92,24.0
177,2018-01-04 17:00:00,1487.7,108.84,23.5
179,2018-01-04 18:00:00,1583.3,106.15,22.6
181,2018-01-04 19:00:00,1630.22,76.05,21.5
183,2018-01-04 20:00:00,1610.97,105.0,20.3
185,2018-01-04 21:00:00,1565.76,97.93,19.2
187,2018-01-04 22:00:00,1421.08,71.59,18.4
189,2018-01-04 23:00:00,1328.21,66.06,17.9
191,2018-01-05 00:00:00,1472.64,122.27,17.6
193,2018-01-05 01:00:00,1311.43,82.35,22.4
195,2018-01-05 02:00:00,1190.46,62.52,22.0
197,2018-01-05 03:00:00,1161.0,61.4,21.5
199,2018-01-05 04:00:00,1099.28,55.88,21.1
201,2018-01-05 05:00:00,1122.76,58.32,20.8
203,2018-01-05 06:00:00,1181.12,74.26,21.0
205,2018-01-05 07:00:00,1277.2,118.22,21.7
207,2018-01-05 08:00:00,1286.83,91.48,22.9
209,2018-01-05 09:00:00,1302.76,100.41,24.5
211,2018-01-05 10:00:00,1285.57,82.8,26.2
213,2018-01-05 11:00:00,1295.88,79.65,27.9
215,2018-01-05 12:00:00,1424.62,104.21,29.3
217,2018-01-05 13:00:00,1555.82,103.05,30.4
219,2018-01-05 14:00:00,1677.56,113.04,31.1
221,2018-01-05 15:00:00,1850.7,112.55,31.4
223,2018-01-05 16:00:00,1993.45,132.96,31.2
225,2018-01-05 17:00:00,2157.05,157.66,30.5
227,2018-01-05 18:00:00,2276.88,189.37,29.3
229,2018-01-05 19:00:00,2317.52,132.55,27.9
231,2018-01-05 20:00:00,2207.97,122.05,26.4
233,2018-01-05 21:00:00,2026.59,96.03,25.0
235,2018-01-05 22:00:00,1791.78,93.6,24.0
237,2018-01-05 23:00:00,1605.88,79.13,23.3
239,2018-01-06 00:00:00,1684.32,76.77,22.8
241,2018-01-06 01:00:00,1422.28,67.66,28.9
243,2018-01-06 02:00:00,1277.25,55.69,28.4
245,2018-01-06 03:00:00,1224.87,43.51,27.9
247,2018-01-06 04:00:00,1189.63,40.23,27.3
249,2018-01-06 05:00:00,1181.85,39.8,27.0
251,2018-01-06 06:00:00,1229.95,39.88,27.2
253,2018-01-06 07:00:00,1298.58,53.98,28.0
255,2018-01-06 08:00:00,1389.15,63.84,29.6
257,2018-01-06 09:00:00,1528.96,74.54,31.6
259,2018-01-06 10:00:00,1648.72,89.39,33.8
261,2018-01-06 11:00:00,1802.03,67.16,36.0
263,2018-01-06 12:00:00,1863.05,75.82,37.9
265,2018-01-06 13:00:00,1951.56,90.46,39.3
267,2018-01-06 14:00:00,1909.94,90.34,40.2
269,2018-01-06 15:00:00,1919.04,100.16,40.6
271,2018-01-06 16:00:00,2040.33,112.85,40.3
273,2018-01-06 17:00:00,2055.89,98.52,39.4
275,2018-01-06 18:00:00,2087.79,93.53,37.9
277,2018-01-06 19:00:00,1995.2,98.75,36.0
279,2018-01-06 20:00:00,1800.82,91.38,34.1
281,2018-01-06 21:00:00,1646.29,87.93,32.3
283,2018-01-06 22:00:00,1445.96,69.69,31.0
285,2018-01-06 23:00:00,1315.29,70.27,30.1
287,2018-01-07 00:00:00,1483.08,92.35,29.5
289,2018-01-07 01:00:00,1267.78,77.53,20.1
291,2018-01-07 02:00:00,1122.58,56.66,19.8
293,2018-01-07 03:00:00,1110.67,55.25,19.4
295,2018-01-07 04:00:00,1051.83,55.4,19.0
297,2018-01-07 05:00:00,1047.33,52.74,18.7
299,2018-01-07 06:00:00,1059.46,54.17,18.9
301,2018-01-07 07:00:00,1057.27,55.15,19.5
303,2018-01-07 08:00:00,1029.76,69.7,20.6
305,2018-01-07 09:00:00,1044.2,93.82,22.0
307,2018-01-07 10:00:00,977.68,83.8,23.5
309,2018-01-07 11:00:00,850.66,96.48,25.0
311,2018-01-07 12:00:00,854.44,98.35,26.3
313,2018-01-07 13:00:00,862.62,88.35,27.3
315,2018-01-07 14:00:00,1088.97,96.76,28.0
317,2018-01-07 15:00:00,1179.05,110.6,28.2
319,2018-01-07 16:00:00,1326.76,107.99,28.0
321,2018-01-07 17:00:00,1385.67,130.51,27.4
323,2018-01-07 18:00:00,1408.22,102.42,26.3
325,2018-01-07 19:00:00,1436.74,111.49,25.0
327,2018-01-07 20:00:00,1398.24,94.77,23.7
329,2018-01-07 21:00:00,1320.14,86.26,22.5
331,2018-01-07 22:00:00,1257.17,72.51,21.5
333,2018-01-07 23:00:00,1168.53,94.16,20.9
335,2018-01-08 00:00:00,1367.69,107.25,20.5
337,2018-01-08 01:00:00,1226.28,123.69,18.4
339,2018-01-08 02:00:00,1115.16,64.98,18.1
341,2018-01-08 03:00:00,1079.58,65.24,17.7
343,2018-01-08 04:00:00,1075.4,65.06,17.3
345,2018-01-08 05:00:00,1150.05,109.54,17.1
347,2018-01-08 06:00:00,1220.54,121.53,17.3
349,2018-01-08 07:00:00,1291.56,119.53,17.8
351,2018-01-08 08:00:00,1253.35,96.55,18.8
353,2018-01-08 09:00:00,1229.21,91.81,20.1
355,2018-01-08 10:00:00,1147.11,101.27,21.5
357,2018-01-08 11:00:00,1150.22,112.99,22.8
359,2018-01-08 12:00:00,1130.85,106.55,24.0
361,2018-01-08 13:00:00,1167.17,109.68,24.9
363,2018-01-08 14:00:00,1188.34,102.82,25.5
365,2018-01-08 15:00:00,1218.27,100.93,25.7
367,2018-01-08 16:00:00,1282.42,103.02,25.6
369,2018-01-08 17:00:00,1346.52,102.19,25.0
371,2018-01-08 18:00:00,1417.55,91.94,24.0
373,2018-01-08 19:00:00,1411.09,88.92,22.9
375,2018-01-08 20:00:00,1407.85,89.94,21.6
377,2018-01-08 21:00:00,1388.65,89.65,20.5
379,2018-01-08 22:00:00,1246.53,85.67,19.7
381,2018-01-08 23:00:00,1199.29,86.26,19.1
383,2018-01-09 00:00:00,1385.67,89.07,18.7
385,2018-01-09 01:00:00,1198.13,84.47,17.6
387,2018-01-09 02:00:00,1110.64,81.89,17.3
389,2018-01-09 03:00:00,1079.61,73.98,17.0
391,2018-01-09 04:00:00,1066.24,61.7,16.6
393,2018-01-09 05:00:00,1077.21,61.57,16.4
395,2018-01-09 06:00:00,1144.09,60.57,16.6
397,2018-01-09 07:00:00,1209.25,81.29,17.1
399,2018-01-09 08:00:00,1209.63,84.29,18.0
401,2018-01-09 09:00:00,1143.97,76.84,19.2
403,2018-01-09 10:00:00,1084.39,79.22,20.6
405,2018-01-09 11:00:00,1008.4,92.8,21.9
407,2018-01-09 12:00:00,947.9,90.97,23.0
409,2018-01-09 13:00:00,933.09,88.17,23.9
411,2018-01-09 14:00:00,945.42,66.89,24.5
413,2018-01-09 15:00:00,955.7,72.5,24.7
415,2018-01-09 16:00:00,1059.97,81.53,24.5
417,2018-01-09 17:00:00,1147.99,112.92,23.9
419,2018-01-09 18:00:00,1244.28,96.06,23.0
421,2018-01-09 19:00:00,1336.07,74.17,21.9
423,2018-01-09 20:00:00,1375.47,70.31,20.7
425,2018-01-09 21:00:00,1396.26,82.55,19.7
427,2018-01-09 22:00:00,1313.69,66.59,18.9
429,2018-01-09 23:00:00,1257.88,66.02,18.3
431,2018-01-10 00:00:00,1413.46,78.18,18.0
433,2018-01-10 01:00:00,1234.83,57.69,18.5
435,2018-01-10 02:00:00,1087.08,49.37,18.2
437,2018-01-10 03:00:00,1056.17,49.03,17.8
439,2018-01-10 04:00:00,1048.8,47.6,17.4
441,2018-01-10 05:00:00,1049.19,47.06,17.2
443,2018-01-10 06:00:00,1163.66,54.79,17.4
445,2018-01-10 07:00:00,1333.67,84.42,17.9
447,2018-01-10 08:00:00,1346.38,74.58,18.9
449,2018-01-10 09:00:00,1325.3,88.15,20.1
451,2018-01-10 10:00:00,1341.1,92.44,21.6
453,2018-01-10 11:00:00,1314.56,99.49,22.9
455,2018-01-10 12:00:00,1306.42,101.55,24.1
457,2018-01-10 13:00:00,1345.74,91.78,25.0
459,2018-01-10 14:00:00,1242.55,88.3,25.6
461,2018-01-10 15:00:00,1319.96,97.51,25.8
463,2018-01-10 16:00:00,1336.41,82.57,25.7
465,2018-01-10 17:00:00,1423.06,90.23,25.1
467,2018-01-10 18:00:00,1488.76,102.57,24.1
469,2018-01-10 19:00:00,1551.09,111.44,23.0
471,2018-01-10 20:00:00,1536.09,102.83,21.7
473,2018-01-10 21:00:00,1517.5,81.77,20.6
475,2018-01-10 22:00:00,1406.21,64.2,19.8
477,2018-01-10 23:00:00,1309.73,68.35,19.2
479,2018-01-11 00:00:00,1476.62,91.97,18.8
481,2018-01-11 01:00:00,1300.17,63.13,22.5
483,2018-01-11 02:00:00,1207.78,65.4,22.1
485,2018-01-11 03:00:00,1177.12,57.0,21.7
487,2018-01-11 04:00:00,1139.21,55.05,21.2
489,2018-01-11 05:00:00,1166.19,53.72,21.0
491,2018-01-11 06:00:00,1253.43,62.62,21.1
493,2018-01-11 07:00:00,1315.54,71.17,21.8
495,2018-01-11 08:00:00,1388.39,69.42,23.0
497,2018-01-11 09:00:00,1454.04,76.46,24.5
499,2018-01-11 10:00:00,1440.67,87.07,26.3
501,2018-01-11 11:00:00,1384.35,82.89,27.9
503,2018-01-11 12:00:00,1469.5,96.6,29.4
505,2018-01-11 13:00:00,1689.69,97.49,30.5
507,2018-01-11 14:00:00,1848.24,110.1,31.2
509,2018-01-11 15:00:00,2121.52,106.53,31.5
511,2018-01-11 16:00:00,2222.62,184.26,31.2
513,2018-01-11 17:00:00,2189.18,124.73,30.5
515,2018-01-11 18:00:00,2150.19,117.07,29.4
517,2018-01-11 19:00:00,2026.64,113.05,28.0
519,2018-01-11 20:00:00,1933.36,108.31,26.5
521,2018-01-11 21:00:00,1834.09,109.41,25.1
523,2018-01-11 22:00:00,1694.85,108.44,24.1
525,2018-01-11 23:00:00,1514.95,103.26,23.4
527,2018-01-12 00:00:00,1620.34,118.99,23.0
529,2018-01-12 01:00:00,1411.19,88.47,20.8
531,2018-01-12 02:00:00,1263.8,105.44,20.5
533,2018-01-12 03:00:00,1182.1,93.04,20.1
535,2018-01-12 04:00:00,1123.16,82.31,19.6
537,2018-01-12 05:00:00,1156.74,76.7,19.4
539,2018-01-12 06:00:00,1243.26,64.95,19.5
541,2018-01-12 07:00:00,1394.05,78.85,20.2
543,2018-01-12 08:00:00,1485.65,78.39,21.2
545,2018-01-12 09:00:00,1534.42,83.62,22.7
547,2018-01-12 10:00:00,1540.79,89.05,24.3
549,2018-01-12 11:00:00,1528.04,100.59,25.8
551,2018-01-12 12:00:00,1504.08,89.47,27.1
553,2018-01-12 13:00:00,1354.73,95.35,28.2
555,2018-01-12 14:00:00,1359.5,104.31,28.8
557,2018-01-12 15:00:00,1383.23,99.25,29.1
559,2018-01-12 16:00:00,1291.84,101.09,28.9
561,2018-01-12 17:00:00,1238.94,92.78,28.2
563,2018-01-12 18:00:00,1137.24,88.09,27.1
565,2018-01-12 19:00:00,1189.57,97.85,25.8
567,2018-01-12 20:00:00,1250.67,97.52,24.4
569,2018-01-12 21:00:00,1228.81,98.14,23.2
571,2018-01-12 22:00:00,1197.4,104.87,22.3
573,2018-01-12 23:00:00,1136.6,90.25,21.6
575,2018-01-13 00:00:00,1294.7,100.45,21.2
577,2018-01-13 01:00:00,1150.67,86.24,17.7
579,2018-01-13 02:00:00,980.34,87.44,17.4
581,2018-01-13 03:00:00,971.95,72.46,17.0
583,2018-01-13 04:00:00,935.6,60.99,16.7
585,2018-01-13 05:00:00,939.53,56.09,16.5
587,2018-01-13 06:00:00,1010.18,69.17,16.6
589,2018-01-13 07:00:00,1063.03,134.62,17.1
591,2018-01-13 08:00:00,1024.91,71.2,18.0
593,2018-01-13 09:00:00,1036.88,79.77,19.2
595,2018-01-13 10:00:00,1007.14,80.54,20.6
597,2018-01-13 11:00:00,911.98,85.95,21.9
599,2018-01-13 12:00:00,793.88,71.69,23.0
601,2018-01-13 13:00:00,756.73,66.65,23.9
603,2018-01-13 14:00:00,710.1,50.77,24.4
605,2018-01-13 15:00:00,677.41,53.17,24.6
607,2018-01-13 16:00:00,746.96,56.47,24.5
609,2018-01-13 17:00:00,839.48,57.56,23.9
611,2018-01-13 18:00:00,958.5,64.5,23.0
613,2018-01-13 19:00:00,1072.69,56.38,21.9
615,2018-01-13 20:00:00,1104.41,70.26,20.7
617,2018-01-13 21:00:00,1142.68,98.35,19.7
619,2018-01-13 22:00:00,1067.19,74.49,18.9
621,2018-01-13 23:00:00,1027.11,70.56,18.3
623,2018-01-14 00:00:00,1220.02,124.77,18.0
625,2018-01-14 01:00:00,1042.1,75.92,17.6
627,2018-01-14 02:00:00,964.94,67.77,17.3
629,2018-01-14 03:00:00,936.4,69.68,17.0
631,2018-01-14 04:00:00,934.58,74.86,16.6
633,2018-01-14 05:00:00,945.67,64.84,16.4
635,2018-01-14 06:00:00,964.42,65.69,16.6
637,2018-01-14 07:00:00,993.01,78.13,17.1
639,2018-01-14 08:00:00,931.13,51.81,18.0
641,2018-01-14 09:00:00,931.82,-254.51,19.2
643,2018-01-14 10:00:00,880.05,-81.65,20.5
645,2018-01-14 11:00:00,734.71,-89.31,21.8
647,2018-01-14 12:00:00,723.69,13.76,22.9
649,2018-01-14 13:00:00,705.44,46.64,23.8
651,2018-01-14 14:00:00,697.78,56.79,24.4
653,2018-01-14 15:00:00,738.91,60.27,24.6
655,2018-01-14 16:00:00,828.91,62.45,24.4
657,2018-01-14 17:00:00,925.37,63.21,23.9
659,2018-01-14 18:00:00,1037.05,120.84,23.0
661,2018-01-14 19:00:00,1135.78,90.19,21.8
663,2018-01-14 20:00:00,1180.11,89.33,20.7
665,2018-01-14 21:00:00,1213.84,95.01,19.6
667,2018-01-14 22:00:00,1179.9,76.37,18.8
669,2018-01-14 23:00:00,1150.66,72.25,18.3
671,2018-01-15 00:00:00,1316.22,113.02,18.0
673,2018-01-15 01:00:00,1193.8,68.87,20.2
675,2018-01-15 02:00:00,1102.23,64.08,19.9
677,2018-01-15 03:00:00,1074.3,74.71,19.5
679,2018-01-15 04:00:00,1055.89,85.17,19.1
681,2018-01-15 05:00:00,1053.53,101.15,18.9
683,2018-01-15 06:00:00,1162.92,123.02,19.0
685,2018-01-15 07:00:00,1231.72,111.1,19.6
687,2018-01-15 08:00:00,1214.04,81.71,20.6
689,2018-01-15 09:00:00,1166.44,83.03,22.0
691,2018-01-15 10:00:00,1070.5,76.5,23.5
693,2018-01-15 11:00:00,1017.17,81.86,25.0
695,2018-01-15 12:00:00,1037.01,93.16,26.3
697,2018-01-15 13:00:00,1088.43,98.88,27.3
699,2018-01-15 14:00:00,1123.21,90.79,27.9
701,2018-01-15 15:00:00,1180.2,78.34,28.2
703,2018-01-15 16:00:00,1272.64,82.15,28.0
705,2018-01-15 17:00:00,1343.87,82.15,27.3
707,2018-01-15 18:00:00,1426.27,85.43,26.3
709,2018-01-15 19:00:00,1461.62,88.09,25.1
711,2018-01-15 20:00:00,1404.43,86.49,23.7
713,2018-01-15 21:00:00,1369.01,70.5,22.5
715,2018-01-15 22:00:00,1267.75,67.19,21.6
717,2018-01-15 23:00:00,1186.86,72.12,21.0
719,2018-01-16 00:00:00,1359.93,85.73,20.6
721,2018-01-16 01:00:00,1191.83,69.23,21.0
723,2018-01-16 02:00:00,1099.34,57.46,20.6
725,2018-01-16 03:00:00,1057.59,51.9,20.2
727,2018-01-16 04:00:00,1032.14,59.08,19.8
729,2018-01-16 05:00:00,1041.16,63.83,19.6
731,2018-01-16 06:00:00,1135.28,78.17,19.7
733,2018-01-16 07:00:00,1271.57,96.04,20.3
735,2018-01-16 08:00:00,1282.08,87.69,21.4
737,2018-01-16 09:00:00,1260.69,82.69,22.8
739,2018-01-16 10:00:00,1242.23,90.34,24.4
741,2018-01-16 11:00:00,1235.56,94.44,25.9
743,2018-01-16 12:00:00,1272.57,110.89,27.3
745,2018-01-16 13:00:00,1327.82,108.52,28.3
747,2018-01-16 14:00:00,1381.69,114.7,29.0
749,2018-01-16 15:00:00,1431.23,110.6,29.2
751,2018-01-16 16:00:00,1521.26,111.32,29.0
753,2018-01-16 17:00:00,1682.38,126.58,28.3
755,2018-01-16 18:00:00,1813.09,122.26,27.3
757,2018-01-16 19:00:00,1860.38,114.22,26.0
759,2018-01-16 20:00:00,1770.53,102.77,24.6
761,2018-01-16 21:00:00,1676.33,92.91,23.4
763,2018-01-16 22:00:00,1498.01,83.42,22.4
765,2018-01-16 23:00:00,1344.83,84.64,21.8
767,2018-01-17 00:00:00,1512.33,117.78,21.4
769,2018-01-17 01:00:00,1276.25,95.51,23.4
771,2018-01-17 02:00:00,1201.77,78.69,23.0
773,2018-01-17 03:00:00,1180.08,82.11,22.5
775,2018-01-17 04:00:00,1154.96,77.69,22.1
777,2018-01-17 05:00:00,1179.4,76.02,21.8
779,2018-01-17 06:00:00,1274.69,91.02,21.9
781,2018-01-17 07:00:00,1380.76,128.12,22.6
783,2018-01-17 08:00:00,1438.76,130.1,23.8
785,2018-01-17 09:00:00,1466.09,112.54,25.4
787,2018-01-17 10:00:00,1496.67,134.68,27.1
789,2018-01-17 11:00:00,1545.78,131.01,28.8
791,2018-01-17 12:00:00,1689.19,144.04,30.3
793,2018-01-17 13:00:00,1797.08,181.62,31.5
795,2018-01-17 14:00:00,1957.63,135.74,32.2
797,2018-01-17 15:00:00,2064.41,128.88,32.5
799,2018-01-17 16:00:00,2211.01,133.24,32.3
801,2018-01-17 17:00:00,2356.58,148.4,31.5
803,2018-01-17 18:00:00,2464.03,195.19,30.4
805,2018-01-17 19:00:00,2498.54,135.72,28.9
807,2018-01-17 20:00:00,2368.43,112.33,27.4
809,2018-01-17 21:00:00,2209.73,98.62,26.0
811,2018-01-17 22:00:00,2019.57,124.09,24.9
813,2018-01-17 23:00:00,1748.1,97.24,24.2
815,2018-01-18 00:00:00,1787.89,94.73,23.8
817,2018-01-18 01:00:00,1545.58,68.97,28.7
819,2018-01-18 02:00:00,1426.08,70.42,28.2
821,2018-01-18 03:00:00,1396.78,63.7,27.7
823,2018-01-18 04:00:00,1376.6,59.62,27.1
825,2018-01-18 05:00:00,1365.64,61.55,26.8
827,2018-01-18 06:00:00,1423.83,57.55,26.9
829,2018-01-18 07:00:00,1526.54,61.13,27.7
831,2018-01-18 08:00:00,1653.25,84.77,29.2
833,2018-01-18 09:00:00,1719.08,127.76,31.1
835,2018-01-18 10:00:00,1783.47,90.98,33.3
837,2018-01-18 11:00:00,1909.58,100.44,35.4
839,2018-01-18 12:00:00,2073.01,122.15,37.2
841,2018-01-18 13:00:00,2208.27,122.27,38.6
843,2018-01-18 14:00:00,2318.63,218.71,39.5
845,2018-01-18 15:00:00,2451.78,2134.46,39.9
847,2018-01-18 16:00:00,2523.3,2196.0,39.6
849,2018-01-18 17:00:00,2680.02,14166.5,38.7
851,2018-01-18 18:00:00,2781.45,5693.03,37.3
853,2018-01-18 19:00:00,2835.06,281.51,35.5
855,2018-01-18 20:00:00,2792.01,363.52,33.6
857,2018-01-18 21:00:00,2542.7,243.02,31.9
859,2018-01-18 22:00:00,2266.96,157.34,30.6
861,2018-01-18 23:00:00,2034.86,138.89,29.8
863,2018-01-19 00:00:00,2060.68,130.6,29.2
865,2018-01-19 01:00:00,1761.57,84.85,27.8
867,2018-01-19 02:00:00,1602.14,68.74,27.3
869,2018-01-19 03:00:00,1536.31,66.14,26.7
871,2018-01-19 04:00:00,1443.31,70.1,26.2
873,2018-01-19 05:00:00,1459.99,74.52,25.9
875,2018-01-19 06:00:00,1546.52,80.37,26.0
877,2018-01-19 07:00:00,1691.29,74.56,26.8
879,2018-01-19 08:00:00,1906.51,95.98,28.2
881,2018-01-19 09:00:00,2047.35,123.8,30.1
883,2018-01-19 10:00:00,2163.08,142.89,32.2
885,2018-01-19 11:00:00,2262.23,183.66,34.2
887,2018-01-19 12:00:00,2323.28,208.2,36.0
889,2018-01-19 13:00:00,2435.25,154.31,37.3
891,2018-01-19 14:00:00,2429.86,2092.57,38.2
893,2018-01-19 15:00:00,2446.63,13408.28,38.5
895,2018-01-19 16:00:00,2551.44,268.3,38.3
897,2018-01-19 17:00:00,2602.06,5412.78,37.4
899,2018-01-19 18:00:00,2620.36,5332.34,36.0
901,2018-01-19 19:00:00,2592.23,135.0,34.3
903,2018-01-19 20:00:00,2500.4,151.6,32.5
905,2018-01-19 21:00:00,2369.61,141.26,30.8
907,2018-01-19 22:00:00,2071.28,108.54,29.6
909,2018-01-19 23:00:00,1836.31,119.95,28.8
911,2018-01-20 00:00:00,1879.53,87.78,28.2
913,2018-01-20 01:00:00,1589.38,81.53,27.1
915,2018-01-20 02:00:00,1438.11,71.25,26.7
917,2018-01-20 03:00:00,1413.47,99.23,26.1
919,2018-01-20 04:00:00,1344.51,83.53,25.6
921,2018-01-20 05:00:00,1339.33,66.26,25.3
923,2018-01-20 06:00:00,1285.29,66.83,25.4
925,2018-01-20 07:00:00,1349.92,89.5,26.2
927,2018-01-20 08:00:00,1391.02,103.61,27.5
929,2018-01-20 09:00:00,1400.97,105.0,29.4
931,2018-01-20 10:00:00,1368.3,105.0,31.4
933,2018-01-20 11:00:00,1563.42,118.43,33.4
935,2018-01-20 12:00:00,1656.29,111.44,35.1
937,2018-01-20 13:00:00,1707.42,109.05,36.4
939,2018-01-20 14:00:00,1838.38,105.0,37.3
941,2018-01-20 15:00:00,1960.53,113.45,37.6
943,2018-01-20 16:00:00,2134.04,116.63,37.3
945,2018-01-20 17:00:00,2193.87,105.0,36.5
947,2018-01-20 18:00:00,2118.33,107.04,35.1
949,2018-01-20 19:00:00,2108.73,107.62,33.5
951,2018-01-20 20:00:00,2072.51,104.43,31.7
953,2018-01-20 21:00:00,2013.82,125.26,30.1
955,2018-01-20 22:00:00,1914.59,103.65,28.9
957,2018-01-20 23:00:00,1733.39,79.24,28.1
959,2018-01-21 00:00:00,1857.51,98.62,27.6
961,2018-01-21 01:00:00,1615.14,68.21,24.3
963,2018-01-21 02:00:00,1465.54,70.44,23.9
965,2018-01-21 03:00:00,1436.96,75.42,23.5
967,2018-01-21 04:00:00,1389.61,60.57,23.0
969,2018-01-21 05:00:00,1355.45,66.08,22.7
971,2018-01-21 06:00:00,1321.69,71.22,22.8
973,2018-01-21 07:00:00,1343.55,110.97,23.5
975,2018-01-21 08:00:00,1346.81,114.09,24.7
977,2018-01-21 09:00:00,1428.44,135.78,26.4
979,2018-01-21 10:00:00,1539.55,189.56,28.2
981,2018-01-21 11:00:00,1652.68,169.27,30.0
983,2018-01-21 12:00:00,1787.85,199.6,31.5
985,2018-01-21 13:00:00,1869.68,163.94,32.7
987,2018-01-21 14:00:00,1950.82,316.66,33.5
989,2018-01-21 15:00:00,2124.07,266.62,33.8
991,2018-01-21 16:00:00,2292.42,172.04,33.5
993,2018-01-21 17:00:00,2245.92,151.0,32.8
995,2018-01-21 18:00:00,2251.84,199.81,31.5
997,2018-01-21 19:00:00,2255.25,164.16,30.0
999,2018-01-21 20:00:00,2134.73,119.31,28.4
